"Phase","FLDNAME","TBLNAME","CRFNAME","TEXT","TYPE","LENGTH","CODE","UNITS"
"ADNI1","PARIINFR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Parietal_Inf_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","PRECUNL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","PRECUNR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CINGANT05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Ant <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CINGMID05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Mid <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CINGPST05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCMIDL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Mid_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCMIDR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Mid_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCSUPL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Sup_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCSUPR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Sup_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCINFL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Inf_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","OCCINFR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Inf_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","THALAML05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Thalamus_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","THALAMR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Thalamus_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","FRTMEDL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Medial_Left <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","FRTMEDR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Medial_Right <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CALCARL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Calcarine_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CALCARR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Calcarine_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","LINGUALL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Lingual_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","LINGUALR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Lingual_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CEREB8L05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cerebelum_8_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CEREB8R05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cerebelum_8_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CERBCR2L05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cerebelum_Crus2_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","CERBCR2R05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cerebelum_Crus2_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","SUPMRGL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","SupraMarginal_L <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","SUPMRGR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","SupraMarginal_R <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","FRTMIDL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Mid_L <br> NOTE: <br> (1). Included total of 215 baseline/6 month FDG-PET scan pairs after excluding scans with QA/acquisition concerns, repeated ANOVA design (factors such as age, gender, apoe4 etc. are not considered in the analysis). (2) local maxima extracted by examining faster CMRgl decline in MCI patients than in controls (AD data included as well). (3) (internal note) analysis on linux /analysis/ADNI/quals/analysis/long_082007/ANOVA_bslm06_NPS. (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD/MCI neuroimaging literature, are included in the table w/o numeric data. (7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. See note2 for their definition <br> Additional Note: <br> faster CMRgl decline in MCI patients than in controls over 6-month period","N","8,6","",""
"ADNI1","FRTMIDR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Mid_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTSUPL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Sup_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTSUPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Sup_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTSMEDL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Sup_Medial_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTSMEDR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Sup_Medial_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPSUPL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Sup_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPSUPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Sup_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPMIDL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Mid_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPMIDR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Mid_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPINFL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Inf_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","TMPINFR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Inf_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FUSFRML06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Fusiform_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FUSFRMR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Fusiform_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","LINGUALL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Lingual_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","LINGUALR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Lingual_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PARAHIPL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","ParaHippocampal_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PARAHIPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","ParaHippocampal_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PARISUPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Parietal_Sup_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PARIINFL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Parietal_Inf_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PARIINFR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Parietal_Inf_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PRECUNL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","PRECUNR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","CINGANT06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Ant <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","CINGMID06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Mid <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","CINGPST06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCMIDL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Mid_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCMIDR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Mid_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCSUPL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Sup_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCSUPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Sup_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCINFL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Inf_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","OCCINFR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Inf_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","THALAML06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Thalamus_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","THALAMR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Thalamus_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTMEDL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Medial_Left <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","FRTMEDR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Frontal_Medial_Right <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","HIPPL06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Hippocampus_L <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","HIPPR06","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Hippocampus_R <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","ANGULR05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Angular_Left <br> NOTE: <br> same as FrtMidL06","N","8,6","",""
"ADNI1","ANGULL05","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Angular_Right <br> NOTE: <br> same as FrtMidL05","N","8,6","",""
"ADNI1","PRECUNL07","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_L: (1). Included baseline/12 month FDG-PET scan pairs for AD patients. Within group baseline vs. 12-month follow-up paired T-test design (factors such as age, gender, apoe4 etc. are not considered in the analysis). (2) local maxima extracted by examining CMRgl decline in AD patients from baseline to followup. (3) (internal note) analysis on linux /analysis/ADNI/quals/analysis/Bmin12m_Feb08 (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data. (7),  the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 07 corresponds to AD CMRgl decline over 12 month period","N","8,6","",""
"ADNI1","CINGPST07","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post","N","8,6","",""
"ADNI1","PARIINFR07","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Normalized Counts","N","8,6","",""
"ADNI1","TMPMIDL07","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Mid_L","N","8,6","","Normalized Counts"
"ADNI1","CUNEUSL08","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cuneus_L. (1). Included baseline/12 month FDG-PET scan pairs, repeated ANOVA design (factors such as age, gender, apoe4 etc. are not considered in the analysis). (2) local maxima extracted by examining faster CMRgl decline in AD patients than in controls (MCI data included in  the table). (3) (internal note) analysis on linux/analysis/ADNI/quals/analysis/long_021308/ANOVA_bslm12. (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data.(7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 08 corresponds to AD CMRgl decline compared to that of normal controls over a 12 month period.","N","8,6","",""
"ADNI1","TMPMIDR08","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Mid_R","N","8,6","",""
"ADNI1","TMPINFL09","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","N","8,6","",""
"ADNI1","CINGPST09","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post","N","8,6","",""
"ADNI1","PRECUNL09","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_L","N","8,6","",""
"ADNI1","PARIINFR09","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Parietal_Inf_R","N","8,6","",""
"ADNI1","TMPINFL10","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Inf_L. (1). Included baseline/12 month FDG-PET scan pairs, repeated ANOVA design (factors such as age, gender, apoe4 etc. are not considered in the analysis). (2) local maxima extracted by examining faster CMRgl decline in MCI patients than in controls (AD data included as well). (3) (internal note) analysis on linux /analysis/ADNI/quals/analysis/long_021308/ANOVA_bslm12. (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD/MCI neuroimaging literature, are included in the table w/o numeric data. (7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 10 corresponds to MCI CMRgl decline compared to that of normal controls over a 12 month period.","N","8,6","","Normalized Counts"
"ADNI1","PRECUNL10","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Precuneus_L","N","8,6","",""
"ADNI1","TMPINFL11","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Inf_L. (1). Included baseline/18 month FDG-PET scan pairs for MCI patients. Within group baseline vs. 18-month follow-up paired T-test design (factors such as age, gender, apoe4 etc. are not considered in the analysis). (2) local maxima extracted by examining CMRgl decline in MCI patients from baseline to followup. (3) (internal note) analysis on linux /san2/analysis/ADNI/quals/analysis/long_021308/ImgSubtract_MCI_bslm18 (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD/MCI neuroimaging literature, are included in the table w/o numeric data.(7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 11 corresponds to MCI CMRgl decline over 18 month period","N","8,6","",""
"ADNI1","OCCMIDL11","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Occipital_Mid_L","N","8,6","",""
"ADNI1","CINGPST11","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post_L","N","8,6","",""
"ADNI1","CINGPMR11","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post_R/Cingulum_Mid_R","N","8,6","","Normalized Counts"
"ADNI1","TMPPOSR12","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Temporal_Pole_Sup_R. (1). Included baseline/12 month FDG-PET scan pairs for AD patients. Within group baseline vs. 12-month follow-up paired T-test design (factors such as age, gender, apoe4 etc. are not considered in the analysis), data from HRRT/biograph scanner excluded. (2) local maxima extracted by examining CMRgl decline in AD patients from baseline to 12 mfollowup. (3) (internal note) analysis on linux /san2/analysis/ADNI/quals/analysis/Bmin12m_Feb08_NPS/presMask000005_AD (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD/MCI neuroimaging literature, are included in the table w/o numeric data.(7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 12 corresponds to AD CMRgl decline over 12 month period relative to the preserved/spared brain region","N","8,6","",""
"ADNI1","CINGPSTR12","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Cingulum_Post_R/Cingulum_Mid_R. (1). Included baseline/12 month FDG-PET scan pairs for AD patients. Within group baseline vs. 12-month follow-up paired T-test design (factors such as age, gender, apoe4 etc. are not considered in the analysis), data from HRRT/biograph scanner excluded. (2) local maxima extracted by examining CMRgl decline in AD patients from baseline to 12 mfollowup. (3) (internal note) analysis on linux /san2/analysis/ADNI/quals/analysis/Bmin12m_Feb08_NPS/presMask000005_AD (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D. with issues in mind such as the correction of multiple comparisons. (5), data subject to change due to addition/change of subjects, time points and/or analysis type. (6), some brain regions, reported in AD/MCI neuroimaging literature, are included in the table w/o numeric data.(7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types. Variable Suffix 12 corresponds to AD CMRgl decline over 12 month period relative to the preserved/spared brain region","N","8,6","",""
"ADNI1","INDGLBNDX","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Individualized Global Index <br> NOTE: <br> (1). Included 298 baseline FDG-PET scans after excluding scans with QA/acquisioon concerns.  (2) each subject was compared, voxel-by-voxel, to our local database of normal subjects, the precentage of CMRgl reduction volume for each subject relative to the whole volume of the brain regions known to be affected by AD (Alexander et al AJP, 2002) globally or within the temporal cortex was calcuated. (3) (internal note) analysis on windows OS. (4) Analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman. (5) data subject to change/addition due to change of normal subjects (e.g., ADNI normal), addtional time points etc. (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data. (7), this global index is free of multiple comparison concern","N","9,6","",""
"ADNI1","INDTEPNDX","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","Individualized Temporal index  <br> NOTE: <br> (1). Included 298 baseline FDG-PET scans after excluding scans with QA/acquisioon concerns.  (2) each subject was compared, voxel-by-voxel, to our local database of normal subjects, the precentage of CMRgl reduction volume for each subject relative to the whole volume of the brain regions known to be affected by AD (Alexander et al AJP, 2002) globally or within the temporal cortex was calcuated. (3) (internal note) analysis on windows OS. (4) Analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman. (5) data subject to change/addition due to change of normal subjects (e.g., ADNI normal), addtional time points etc. (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data. (7), this global index is free of multiple comparison concern","N","9,6","",""
"ADNI1","FROITRN001","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","N","8,6","",""
"ADNI1","FROITST001","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","N","8,6","",""
"ADNI1","FROITST002","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","N","8,6","",""
"ADNI1","SX","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","N","10 digits","",""
"ADNI1","VISCODE2","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Translated visit code","-4","-4","-4","-4"
"ADNI1","EXAMDATE","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Examination Date","-4","-4","-4",""
"ADNI1","LONIUID","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","LONI Unique Image Identifier","-4","-4","-4",""
"ADNI1","RUNDATE","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","DATE analysis performed","-4","-4","-4",""
"ADNI1","STATUS","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Complete/Incomplete","-4","-4","-4",""
"ADNI1","VERSION","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Version of Table","-4","-4","-4",""
"ADNI1","HIPPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Hippocampus_L","-4","-4","-4","Normalized Counts"
"ADNI1","FRTSUPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_sup_L","-4","-4","-4","Normalized Counts"
"ADNI1","FRTMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_mid_L","-4","-4","-4","Normalized Counts"
"ADNI1","PARAHIPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from ParaHippocampal_L","-4","-4","-4","Normalized Counts"
"ADNI1","FUSFRML01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Fusiform_L","-4","-4","-4","Normalized Counts"
"ADNI1","OCCMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Occipital_mid_L","-4","-4","-4","Normalized Counts"
"ADNI1","ANGULL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Angular_L","-4","-4","-4","Normalized Counts"
"ADNI1","PARIINFL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Parietal_Inf_L","-4","-4","-4","Normalized Counts"
"ADNI1","SUPMRGL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from SupraMarginal_L","-4","-4","-4","Normalized Counts"
"ADNI1","TMPMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Temporal _mid_L","-4","-4","-4","Normalized Counts"
"ADNI1","PRECUNL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Precuneus_L","-4","-4","-4","Normalized Counts"
"ADNI1","CINGPSTL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Cingulum_Post_L","-4","-4","-4","Normalized Counts"
"ADNI1","PARAHIPR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from ParaHippocampal_R","-4","-4","-4","Normalized Counts"
"ADNI1","FRTSUPR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_Sup_R","-4","-4","-4","Normalized Counts"
"ADNI1","OCCMIDR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Occipital_mid_R","-4","-4","-4","Normalized Counts"
"ADNI1","FUSFRMR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Fusiform_R","-4","-4","-4","Normalized Counts"
"ADNI1","FRTMIDR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_mid_R","-4","-4","-4","Normalized Counts"
"ADNI1","ANGULR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Angular_R","-4","-4","-4","Normalized Counts"
"ADNI1","PARIINFR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Parietal_Inf_R","-4","-4","-4","Normalized Counts"
"ADNI1","TMPMIDR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Temporal_mid_R","-4","-4","-4","Normalized Counts"
"ADNI1","SUPMRGR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from SupraMarginal_R","-4","-4","-4","Normalized Counts"
"ADNI1","PRCUNSR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Prcuneus_R","-4","-4","-4","Normalized Counts"
"ADNI1","HIPPR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Hippocampus_R","-4","-4","-4","Normalized Counts"
"ADNI1","LINGUALL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Lingual_L","-4","-4","-4","Normalized Counts"
"ADNI1","LINGUALR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Lingual_R","-4","-4","-4","Normalized Counts"
"ADNI1","CINGPSTR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Cingulum_Post_R","-4","-4","-4","Normalized Counts"
"ADNI1","FRTINFL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_Inf_L","-4","-4","-4","Normalized Counts"
"ADNI1","FRTINFR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Frontal_Inf_R","-4","-4","-4","Normalized Counts"
"ADNI1","PARISUPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Parietal_Sup_L","-4","-4","-4","Normalized Counts"
"ADNI1","PARISUPR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Parietal_Sup_R","-4","-4","-4","Normalized Counts"
"ADNI1","INSULAL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Insula_L","-4","-4","-4","Normalized Counts"
"ADNI1","INSULAR01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","Globally normalized CMRgl from Insula_R","-4","-4","-4","Normalized Counts"
